"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.42422826571064e-05,-2.04927428458328,0.254,0.383,0.345831107479857,"PRDX4"
1.43534012882373e-05,-0.789332440488447,0.289,0.329,0.348529290080978,"CCND1"
1.50212617911287e-05,0.866585729134138,0.81,0.495,0.364746278812188,"ETS2"
1.50634229992952e-05,0.763271435247503,0.887,0.573,0.365770037268887,"OSBPL8"
1.50701885776882e-05,-6.12148389764074,0.049,0.261,0.365934319043426,"IGHG1"
1.54263510821374e-05,0.634340066711644,0.824,0.502,0.374582656976461,"TMEM123"
1.54677905329425e-05,0.669136670825443,0.93,0.674,0.37558888972091,"SKIL"
1.57175146176882e-05,0.518369649044231,0.958,0.763,0.381652689946704,"IER3"
1.66064853023361e-05,0.641095034985428,0.958,0.643,0.403238676111325,"HLA-DMB"
1.70006204076499e-05,1.3478147021477,0.373,0.223,0.412809064738554,"KBTBD8"
1.7217033322183e-05,0.507076270448619,0.93,0.594,0.418064003129248,"RGS10"
1.8345235919835e-05,0.998591979667328,0.711,0.427,0.445459018605434,"VEGFA"
1.88743344538177e-05,0.688279402807502,0.951,0.742,0.458306589207602,"ALOX5AP"
1.96387081603973e-05,0.582893876997808,0.972,0.728,0.476867111550768,"LITAF"
2.10125583695125e-05,0.925480133806822,0.852,0.521,0.510226942328502,"DSE"
2.33920905872427e-05,-1.07916530399682,0.366,0.373,0.568006743639426,"C1orf54"
2.46242172246611e-05,0.617472111570837,0.563,0.284,0.597925242649221,"IL2RG"
2.52702352962537e-05,1.299463549478,0.634,0.343,0.613611853463632,"AHR"
2.53514368439203e-05,-1.09765077287015,0.239,0.322,0.615583589444073,"CADM1"
2.6516385120768e-05,0.653225451986943,0.965,0.812,0.643870863502489,"CTSS"
2.88968781250569e-05,1.027180266223,0.69,0.371,0.701673994632631,"RALA"
2.91587768606351e-05,1.41121386415892,0.387,0.153,0.708033419729941,"TREM1"
3.02900716482705e-05,1.23456982113316,0.268,0.092,0.735503519763305,"IL27RA"
3.10948286672125e-05,0.558082844762969,1,0.904,0.755044629697253,"GAPDH"
3.13773389262203e-05,2.15943952256352,0.254,0.077,0.761904543806483,"FZD1"
3.65696188438652e-05,0.611195581594177,0.754,0.415,0.887983484766734,"CD4"
3.78290986663743e-05,0.854737451567619,0.599,0.303,0.918566173816901,"CRYBG1"
3.80365054884367e-05,1.33566294287071,0.5,0.246,0.92360242627022,"ARHGAP26"
4.10472247222242e-05,0.894436105269109,0.725,0.39,0.996708710705047,"FAM129A"
4.23822111834073e-05,0.633664438167443,0.958,0.671,1,"ARPC1B"
4.62516770677072e-05,1.06197908274858,0.62,0.298,1,"TNFSF12"
4.98672751943177e-05,-1.23353024435468,0.93,0.859,1,"SSR4"
5.08545205886348e-05,-1.22064958837024,0.5,0.397,1,"CPNE3"
5.09187655206867e-05,1.22079109573835,0.359,0.171,1,"GGCX"
5.22537064369232e-05,0.645055581028769,0.824,0.484,1,"SH3KBP1"
5.66895868033859e-05,1.7461869382205,0.296,0.099,1,"OSCAR"
5.70795503632016e-05,0.996744393856939,0.81,0.512,1,"SPINT2"
5.78519099146189e-05,0.525030157375316,0.986,0.786,1,"CLIC1"
6.5128699936048e-05,0.623764921183475,0.852,0.533,1,"ATP6AP2"
6.74606803087341e-05,1.01887165229843,0.613,0.319,1,"GAPT"
